Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
4.0,110.0,Chicago,Lucas Carlsson,D,Brynas IF Gavle [SweHL],60.0,3.0,8.0,11.0,14.0,2022-23
4.0,111.0,San Jose,Noah Gregor,C,Moose Jaw Warriors [WHL],179.0,27.0,25.0,52.0,71.0,2023-24
4.0,112.0,Los Angeles,Jacob Moverare,D,HV71 Jrs (Sweden),21.0,0.0,2.0,2.0,2.0,2022-23
4.0,113.0,Chicago,Nathan Noel,C,Saint John Sea Dogs [QMJHL],,,,,,
4.0,114.0,Florida,Riley Stillman,D,Oshawa Generals [OHL],158.0,4.0,22.0,26.0,104.0,2022-23
4.0,115.0,Anaheim,Alex Dostie,C,Gatineau Olympiques [QMJHL],,,,,,
4.0,116.0,Dallas,Rhett Gardner,C,U. of North Dakota [NCHC],40.0,1.0,1.0,2.0,10.0,2021-22
4.0,117.0,Washington,Damien Riat,R,Geneve Servette [Swiss-A],,,,,,
4.0,118.0,Tampa Bay,Ross Colton,C,Cedar Rapids RoughRiders [USHL],191.0,47.0,37.0,84.0,90.0,2023-24
4.0,119.0,St. Louis,Tanner Kaspick,C,Brandon Wheat Kings [WHL],,,,,,
4.0,120.0,NY Islanders,Otto Koivula,L,Ilves Jrs (Finland),28.0,0.0,4.0,4.0,6.0,2022-23
4.0,121.0,Pittsburgh,Ryan Jones,D,Lincoln Stars [USHL],,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5.0,122.0,Toronto,Vladimir Bobylev,L,Victoria Royals [WHL],,,,,,
5.0,123.0,Edmonton,Dylan Wells,G,Peterborough Petes [OHL],1.0,0.0,0.0,0.0,0.0,2022-23
5.0,124.0,Montreal,Casey Staum,D,Grand Rapids (Minn. H.S.),,,,,,
5.0,125.0,St. Louis,Nolan Stevens,C,Northeastern University [H-East],,,,,,
5.0,126.0,Calgary,Mitchell Mattson,C,Bloomington Thunder [USHL],,,,,,
5.0,127.0,Winnipeg,Jordan Stallard,C,Calgary Hitmen [WHL],,,,,,
5.0,128.0,Dallas,Colton Point,G,Carleton Place Canadians [CCHL],,,,,,
5.0,129.0,Buffalo,Philip Nyberg,D,Linkoping Jrs (Sweden),,,,,,
5.0,130.0,Buffalo,Vojtech Budik,D,Prince Albert Raiders [WHL],,,,,,
5.0,131.0,Colorado,Adam Werner,G,Farjestads Jrs (Sweden),2.0,0.0,0.0,0.0,0.0,2019-20
5.0,132.0,New Jersey,Yegor Rykov,D,St. Petersburg Jrs (Russia),,,,,,
5.0,133.0,Ottawa,Max Lajoie,D,Swift Current Broncos [WHL],70.0,7.0,8.0,15.0,20.0,2022-23
5.0,134.0,Carolina,Jeremy Helvig,G,Kingston Frontenacs [OHL],,,,,,
5.0,135.0,Boston,Joona Koppanen,L,Ilves Jrs (Finland),5.0,0.0,1.0,1.0,4.0,2022-23
5.0,136.0,Boston,Cameron Clarke,D,Lone Star Brahmas [NAHL],,,,,,
5.0,137.0,Detroit,Jordan Sambrook,D,Erie Otters [OHL],,,,,,
5.0,138.0,Nashville,Patrick Harper,L,Avon Old Farms (Conn. H.S.),,,,,,
5.0,139.0,Philadelphia,Linus Hogberg,D,Vaxjo Jrs (Sweden),5.0,0.0,2.0,2.0,2.0,2021-22
5.0,140.0,Vancouver,Cole Candella,D,Hamilton Bulldogs [OHL],,,,,,
5.0,141.0,NY Rangers,Tim Gettinger,L,Soo Greyhounds [OHL],16.0,0.0,1.0,1.0,0.0,2021-22
5.0,142.0,Los Angeles,Michael Eyssimont,C,St. Cloud State [NCHC],56.0,5.0,10.0,15.0,63.0,2023-24
5.0,143.0,Chicago,Mathias From,L,Rogle Jrs (Sweden),,,,,,
5.0,144.0,St. Louis,Conner Bleackley,C,Red Deer Rebels [WHL],,,,,,
5.0,145.0,Washington,Beck Malenstyn,L,Calgary Hitmen [WHL],25.0,2.0,1.0,3.0,11.0,2023-24
5.0,146.0,Dallas,Nicholas Caamano,R,Flint Firebirds [OHL],36.0,1.0,2.0,3.0,21.0,2020-21
5.0,147.0,Washington,Axel Jonsson-Fjallby,L,Djurgarden Jrs (Sweden),73.0,8.0,10.0,18.0,12.0,2022-23
5.0,148.0,Tampa Bay,Christopher Paquette,C,Niagara IceDogs [OHL],,,,,,
5.0,149.0,Edmonton,Graham McPhee,L,U.S. National Development Team [USHL],,,,,,
5.0,150.0,San Jose,Manuel Wiederer,R,Moncton Wildcats [QMJHL],,,,,,
5.0,151.0,Pittsburgh,Niclas Almari,D,Jokerit Jrs (Finland),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6.0,152.0,Toronto,Jack Walker,L,Victoria Royals [WHL],,,,,,
6.0,153.0,Edmonton,Aapeli Rasanen,C,Tappara Jrs (Finland),,,,,,
6.0,154.0,Vancouver,Jakob Stukel,L,Calgary Hitmen [WHL],,,,,,
6.0,155.0,Columbus,Peter Thome,G,Aberdeen Wings [NAHL],,,,,,
6.0,156.0,Calgary,Eetu Tuulola,R,HPK Jrs (Finland),,,,,,
6.0,157.0,Winnipeg,Mikhail Berdin,G,Russia U-18 Team,,,,,,
6.0,158.0,Arizona,Patrick Kudla,D,Oakville Blades [OJHL],,,,,,
6.0,159.0,Buffalo,Brandon Hagel,L,Red Deer Rebels [WHL],212.0,65.0,68.0,133.0,96.0,2023-24
6.0,160.0,Montreal,Michael Pezzetta,L,Sudbury Wolves [OHL],114.0,12.0,14.0,26.0,158.0,2022-23
6.0,161.0,Colorado,Nathan Clurman,D,Culver Academy (H.S.),,,,,,
6.0,162.0,New Jersey,Jesper Bratt,L,AIK [Swe-1],391.0,104.0,175.0,279.0,62.0,2023-24
6.0,163.0,Ottawa,Markus Nurmi,R,TPS Jrs (Finland),,,,,,
6.0,164.0,Carolina,Noah Carroll,D,Guelph Storm [OHL],,,,,,
6.0,165.0,Boston,Oskar Steen,C,Farjestad Jrs (Sweden),26.0,3.0,4.0,7.0,8.0,2022-23
6.0,166.0,Calgary,Matthew Phillips,R,Victoria Royals [WHL],4.0,0.0,0.0,0.0,2.0,2023-24
6.0,167.0,Detroit,Filip Larsson,G,Djurgarden Jrs (Sweden),,,,,,
6.0,168.0,Nashville,Konstantin Volkov,G,SKA Jrs (Russia),,,,,,
6.0,169.0,Philadelphia,Tanner Laczynski,C,Lincoln Stars [USHL],38.0,2.0,2.0,4.0,2.0,2022-23
6.0,170.0,NY Islanders,Collin Adams,L,Muskegon Lumberjacks [USHL],,,,,,
6.0,171.0,NY Rangers,Gabriel Fontaine,C,Rouyn-Noranda Huskies [QMJHL],,,,,,
6.0,172.0,Philadelphia,Anthony Salinitri,L,Sarnia Sting [OHL],,,,,,
6.0,173.0,Chicago,Blake Hillman,D,U. of Denver [NCHC],4.0,1.0,0.0,1.0,0.0,2017-18
6.0,174.0,NY Rangers,Tyler Wall,G,Leamington (GOJHL),,,,,,
6.0,175.0,Florida,Maxim Mamin,C,CSKA Moscow [KHL],73.0,10.0,8.0,18.0,25.0,2021-22
6.0,176.0,Dallas,Jakob Stenqvist,D,MODO Jrs (Sweden),,,,,,
6.0,177.0,Washington,Chase Priskie,D,Quinnipiac University [ECAC],4.0,0.0,0.0,0.0,2.0,2021-22
